score,content
3,"개인적으로 bm이 조금..;; 근데 솔직히 bm은 버티면 어케 할수있지만 공장은 진짜 호불호가 매우갈리고 시간이 너무갈려서 개인적으로는 취양맞고 시간여유가 있다 싶은분만 추천드리고 나는 시간이 없다 or 공장이 취양이 아니다 하는 분들은 진지하게 다시 생각하시고 하시길 3점대에 있을만한겜인가? 원신,명조같은겜 생각하고 오셨으면 3점 초중반정도의 게임 공장겜으로서는 4점중반 최적화는 칭찬할민함"
5,재미는 개인의 편차가 있다지만 종합적인 게임성에서 만큼은 그 누구도 별로라고 하는 사람이 없을 정도로 그 완성도는 높습니다. 불호일거같아서 찍먹하기 무서운 분들은 pc로 시작해보는것을 추천. 모바일은 서브로 생각해야 할 듯.
1,괜히 짱X회사가 아니었네. 이회산 다신안쳐다보련다
4,잘못키운 캐릭터 초기화 기능 넣어주면 안될까요....... 다른건 다좋아요.
5,완벽하다 캐릭터 육성과 심시티의 조합 허나 업데이트 속도가 느린건 조금 맘에 들지 않는다. 최적화도 완벽에 가깝다 피씨던 폰이던 다 잘 돌아간다. 앞으로가 더 기대되는 게임
1,개같은 기질 확률 니네 다 해먹어라. 게임 그렇게 내면 살림살이 나아지냐? 칵퉤
1,3시즌 다 픽업캐 못 가져가고 여풍만 2개 뜨네 에휴... 나는 이 게임이랑은 안 맞나보다 잘가라 ㅂㅂ
3,샤오미피드7로 게임을 하는데 앱처음키자마자바로튕기고 그리고 게임진행할때도 자꾸튕겨서 게임진행하기가 어려워 이런점을 고쳐줬으면 좋겠어요.
5,진짜 너무 재밌슴 ㄹㅇ
5,이본 안나와서 게임접음요
5,재미있음
1,무슨 가챠 천장 을 쳐도 픽업 캐릭터 가 안나오는게 말이되냐 아무리 확률 공개 했다 치지만 천장 쳤으면 나와야 하는게 아닌가 이미 풀돌 찍은 애들 만 잔뜩 나와서 삭제함
2,돈 많고 시간 많은 사람만 하셈.
5,모바일 조작감 매우 불편함 PC로 하길 추천
1,이런 뽑기 망겜 이월 왜 안돼?
